# 2023-09-28T16:39:49 (5.000000,5.000000)
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
15.000000,-90.000000,80.000000,18.506449,-74.538330
20.000000,-90.000000,80.000000,18.506449,-74.538330
25.000000,-90.000000,80.000000,18.506449,-74.538330
30.000000,-90.000000,80.000000,18.506449,-74.538330
35.000000,-90.000000,80.000000,18.506449,-74.538330
40.000000,-90.000000,80.000000,18.506449,-74.538330
45.000000,-90.000000,80.000000,18.506451,-74.538330
50.000000,-90.000000,80.000000,18.506451,-74.538330
55.000000,-90.000000,80.000000,18.506449,-74.538330
60.000000,-90.000000,80.000000,18.506451,-74.538330
65.000000,-90.000000,80.000000,18.506451,-74.538330
70.000000,-90.000000,80.000000,18.506451,-74.538330
75.000000,-90.000000,80.000000,18.506451,-74.538330
80.000000,-90.000000,80.000000,18.506451,-74.538330
85.000000,-90.000000,80.000000,18.506454,-74.538330
90.000000,-90.000000,80.000000,18.506453,-74.538330
95.000000,-90.000000,80.000000,18.506454,-74.538330
100.000000,-90.000000,80.000000,18.506454,-74.538330
105.000000,-90.000000,80.000000,18.506456,-74.538330
110.000000,-90.000000,80.000000,18.506456,-74.538330
115.000000,-90.000000,80.000000,18.506456,-74.538330
120.000000,-90.000000,80.000000,18.506458,-74.538330
125.000000,-90.000000,80.000000,18.506460,-74.538330
130.000000,-90.000000,80.000000,18.506460,-74.538330
135.000000,-90.000000,80.000000,18.506460,-74.538330
140.000000,-90.000000,80.000000,18.506460,-74.538330
145.000000,-90.000000,80.000000,18.506462,-74.538330
150.000000,-90.000000,80.000000,18.506462,-74.538330
155.000000,-90.000000,80.000000,18.506462,-74.538330
160.000000,-90.000000,80.000000,18.506462,-74.538330
165.000000,-90.000000,80.000000,18.506466,-74.538330
170.000000,-90.000000,80.000000,18.506466,-74.538330
175.000000,-90.000000,80.000000,18.506466,-74.538330
-180.000000,-85.000000,80.000000,0.932335,-76.829414
-175.000000,-85.000000,80.000000,0.417181,-76.416771
-170.000000,-85.000000,80.000000,0.082887,-75.994461
-165.000000,-85.000000,80.000000,-0.083750,-75.566460
-160.000000,-85.000000,80.000000,-0.096222,-75.136505
-155.000000,-85.000000,80.000000,0.032099,-74.708008
-150.000000,-85.000000,80.000000,0.288356,-74.284119
-145.000000,-85.000000,80.000000,0.660452,-73.867737
-140.000000,-85.000000,80.000000,1.137039,-73.461525
-135.000000,-85.000000,80.000000,1.707595,-73.067924
-130.000000,-85.000000,80.000000,2.362280,-72.689186
-125.000000,-85.000000,80.000000,3.092420,-72.327354
-120.000000,-85.000000,80.000000,3.889964,-71.984306
-115.000000,-85.000000,80.000000,4.747602,-71.661743
-110.000000,-85.000000,80.000000,5.658606,-71.361206
-105.000000,-85.000000,80.000000,6.616968,-71.084045
-100.000000,-85.000000,80.000000,7.617308,-70.831474
-95.000000,-85.000000,80.000000,8.654637,-70.604507
-90.000000,-85.000000,80.000000,9.724400,-70.404030
-85.000000,-85.000000,80.000000,10.822311,-70.230728
-80.000000,-85.000000,80.000000,11.944594,-70.085144
-75.000000,-85.000000,80.000000,13.087572,-69.967644
-70.000000,-85.000000,80.000000,14.247727,-69.878441
-65.000000,-85.000000,80.000000,15.421697,-69.817589
-60.000000,-85.000000,80.000000,16.606165,-69.785004
-55.000000,-85.000000,80.000000,17.797831,-69.780472
-50.000000,-85.000000,80.000000,18.993288,-69.803673
-45.000000,-85.000000,80.000000,20.189100,-69.854179
-40.000000,-85.000000,80.000000,21.381773,-69.931381
-35.000000,-85.000000,80.000000,22.567518,-70.034752
-30.000000,-85.000000,80.000000,23.742344,-70.163628
-25.000000,-85.000000,80.000000,24.902115,-70.317268
-20.000000,-85.000000,80.000000,26.042521,-70.494904
-15.000000,-85.000000,80.000000,27.158907,-70.695740
-10.000000,-85.000000,80.000000,28.246260,-70.918983
-5.000000,-85.000000,80.000000,29.299326,-71.163788
0.000000,-85.000000,80.000000,30.312544,-71.429276
5.000000,-85.000000,80.000000,31.280157,-71.714432
10.000000,-85.000000,80.000000,32.195671,-72.018364
15.000000,-85.000000,80.000000,33.052357,-72.339989
20.000000,-85.000000,80.000000,33.842999,-72.678177
25.000000,-85.000000,80.000000,34.559956,-73.031639
30.000000,-85.000000,80.000000,35.194946,-73.398994
35.000000,-85.000000,80.000000,35.738968,-73.778702
40.000000,-85.000000,80.000000,36.182457,-74.168983
45.000000,-85.000000,80.000000,36.515190,-74.567894
50.000000,-85.000000,80.000000,36.726364,-74.973244
55.000000,-85.000000,80.000000,36.804214,-75.382523
60.000000,-85.000000,80.000000,36.736618,-75.792923
65.000000,-85.000000,80.000000,36.511059,-76.201309
70.000000,-85.000000,80.000000,36.115005,-76.604256
75.000000,-85.000000,80.000000,35.536217,-76.997925
80.000000,-85.000000,80.000000,34.763542,-77.378098
