# 2023-05-18T17:50:50
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
80.0, -85.0, 500.0, 33.65701675415039, -78.43238067626953
85.0, -85.0, 500.0, 32.58860778808594, -78.77457427978516
90.0, -85.0, 500.0, 31.297325134277344, -79.09310913085938
95.0, -85.0, 500.0, 29.78214454650879, -79.3830337524414
100.0, -85.0, 500.0, 28.048828125, -79.63929748535156
105.0, -85.0, 500.0, 26.1114559173584, -79.85698699951172
110.0, -85.0, 500.0, 23.99357032775879, -80.03153228759766
115.0, -85.0, 500.0, 21.728530883789062, -80.15892028808594
120.0, -85.0, 500.0, 19.35877799987793, -80.23601531982422
125.0, -85.0, 500.0, 16.93385887145996, -80.2607421875
130.0, -85.0, 500.0, 14.507325172424316, -80.23226928710938
135.0, -85.0, 500.0, 12.132944107055664, -80.15104675292969
140.0, -85.0, 500.0, 9.860864639282227, -80.01880645751953
145.0, -85.0, 500.0, 7.734396934509277, -79.83838653564453
150.0, -85.0, 500.0, 5.787864685058594, -79.61351776123047
155.0, -85.0, 500.0, 4.045709609985352, -79.3486099243164
160.0, -85.0, 500.0, 2.5227296352386475, -79.04847717285156
165.0, -85.0, 500.0, 1.225138783454895, -78.71810913085938
170.0, -85.0, 500.0, 0.15209349989891052, -78.36251068115234
175.0, -85.0, 500.0, -0.7026428580284119, -77.98653411865234
-180.0, -80.0, 500.0, -24.42760467529297, -78.0404052734375
-175.0, -80.0, 500.0, -23.81658172607422, -77.21435546875
-170.0, -80.0, 500.0, -22.972877502441406, -76.4000015258789
-165.0, -80.0, 500.0, -21.9405460357666, -75.60114288330078
-160.0, -80.0, 500.0, -20.75428581237793, -74.82108306884766
-155.0, -80.0, 500.0, -19.44173240661621, -74.06277465820312
-150.0, -80.0, 500.0, -18.02513313293457, -73.32890319824219
-145.0, -80.0, 500.0, -16.522573471069336, -72.62196350097656
-140.0, -80.0, 500.0, -14.948867797851562, -71.94430541992188
-135.0, -80.0, 500.0, -13.316227912902832, -71.29814147949219
-130.0, -80.0, 500.0, -11.63475513458252, -70.68560791015625
-125.0, -80.0, 500.0, -9.912806510925293, -70.10871124267578
-120.0, -80.0, 500.0, -8.15727424621582, -69.56939697265625
-115.0, -80.0, 500.0, -6.373802185058594, -69.0694580078125
-110.0, -80.0, 500.0, -4.566956043243408, -68.61058044433594
-105.0, -80.0, 500.0, -2.740363597869873, -68.19427490234375
-100.0, -80.0, 500.0, -0.8968378901481628, -67.82186889648438
-95.0, -80.0, 500.0, 0.9615116715431213, -67.49447631835938
-90.0, -80.0, 500.0, 2.833172082901001, -67.21295928955078
-85.0, -80.0, 500.0, 4.717118740081787, -66.97789764404297
-80.0, -80.0, 500.0, 6.612706184387207, -66.78958129882812
-75.0, -80.0, 500.0, 8.519556999206543, -66.64798736572266
-70.0, -80.0, 500.0, 10.437444686889648, -66.55278778076172
-65.0, -80.0, 500.0, 12.366179466247559, -66.50336456298828
-60.0, -80.0, 500.0, 14.30549430847168, -66.49879455566406
-55.0, -80.0, 500.0, 16.25493812561035, -66.53793334960938
-50.0, -80.0, 500.0, 18.213773727416992, -66.61942291259766
-45.0, -80.0, 500.0, 20.18089485168457, -66.74176788330078
-40.0, -80.0, 500.0, 22.15475845336914, -66.90335845947266
-35.0, -80.0, 500.0, 24.13332748413086, -67.10257720947266
-30.0, -80.0, 500.0, 26.114042282104492, -67.33782196044922
-25.0, -80.0, 500.0, 28.09381675720215, -67.60757446289062
-20.0, -80.0, 500.0, 30.06903648376465, -67.91046142578125
-15.0, -80.0, 500.0, 32.035579681396484, -68.2452621459961
-10.0, -80.0, 500.0, 33.988861083984375, -68.61095428466797
-5.0, -80.0, 500.0, 35.92384338378906, -69.00669860839844
0.0, -80.0, 500.0, 37.8350830078125, -69.43187713623047
5.0, -80.0, 500.0, 39.71674346923828, -69.88603210449219
10.0, -80.0, 500.0, 41.56256866455078, -70.36886596679688
15.0, -80.0, 500.0, 43.36585998535156, -70.88018798828125
20.0, -80.0, 500.0, 45.119388580322266, -71.41984558105469
25.0, -80.0, 500.0, 46.81523132324219, -71.98770141601562
30.0, -80.0, 500.0, 48.444602966308594, -72.58356475830078
35.0, -80.0, 500.0, 49.997520446777344, -73.20709991455078
40.0, -80.0, 500.0, 51.46242904663086, -73.85780334472656
45.0, -80.0, 500.0, 52.82563781738281, -74.53488159179688
50.0, -80.0, 500.0, 54.070613861083984, -75.23724365234375
55.0, -80.0, 500.0, 55.17699432373047, -75.96337890625
60.0, -80.0, 500.0, 56.11930465698242, -76.7112808227539
65.0, -80.0, 500.0, 56.86518859863281, -77.4783706665039
70.0, -80.0, 500.0, 57.37303161621094, -78.2613525390625
75.0, -80.0, 500.0, 57.58872985839844, -79.0560073852539
80.0, -80.0, 500.0, 57.44131088256836, -79.85700225830078
85.0, -80.0, 500.0, 56.837100982666016, -80.65745544433594
90.0, -80.0, 500.0, 55.65237808227539, -81.44840240478516
95.0, -80.0, 500.0, 53.72517776489258, -82.21797943115234
