#geo lon (deg), geo lat (deg), maglat (deg)
-30.000000, 0.000000, -10.248948
-30.000000, 10.000000, 0.971714
-30.000000, 20.000000, 12.448888
-30.000000, 30.000000, 24.109262
-30.000000, 40.000000, 35.909846
-30.000000, 50.000000, 47.678196
-30.000000, 60.000000, 58.991078
-30.000000, 70.000000, 69.158350
-30.000000, 80.000000, 77.863059
-30.000000, 90.000000, 86.326084
-20.000000, -90.000000, -57.493976
-20.000000, -80.000000, -47.912456
-20.000000, -70.000000, -41.562956
-20.000000, -60.000000, -39.279120
-20.000000, -50.000000, -40.962935
-20.000000, -40.000000, -42.919786
-20.000000, -30.000000, -41.060974
-20.000000, -20.000000, -35.083699
-20.000000, -10.000000, -25.575936
-20.000000, 0.000000, -13.826384
-20.000000, 10.000000, -1.577417
-20.000000, 20.000000, 10.579664
-20.000000, 30.000000, 22.751797
-20.000000, 40.000000, 34.941491
-20.000000, 50.000000, 46.866946
-20.000000, 60.000000, 58.076939
-20.000000, 70.000000, 68.156785
-20.000000, 80.000000, 77.173789
-20.000000, 90.000000, 86.326004
-10.000000, -90.000000, -57.493991
-10.000000, -80.000000, -47.966193
-10.000000, -70.000000, -41.706139
-10.000000, -60.000000, -39.703948
-10.000000, -50.000000, -42.301656
-10.000000, -40.000000, -46.243535
-10.000000, -30.000000, -46.124287
-10.000000, -20.000000, -39.982228
-10.000000, -10.000000, -28.844940
-10.000000, 0.000000, -15.609384
-10.000000, 10.000000, -2.571371
-10.000000, 20.000000, 9.970552
-10.000000, 30.000000, 22.398700
-10.000000, 40.000000, 34.770311
-10.000000, 50.000000, 46.701685
-10.000000, 60.000000, 57.700543
-10.000000, 70.000000, 67.563966
-10.000000, 80.000000, 76.717711
-10.000000, 90.000000, 86.325954
0.000000, -90.000000, -57.494039
0.000000, -80.000000, -48.203297
0.000000, -70.000000, -41.931754
0.000000, -60.000000, -39.770302
0.000000, -50.000000, -42.426168
0.000000, -40.000000, -47.684988
0.000000, -30.000000, -49.462376
0.000000, -20.000000, -43.200699
0.000000, -10.000000, -30.399282
0.000000, 0.000000, -15.981045
0.000000, 10.000000, -2.460417
0.000000, 20.000000, 10.284392
0.000000, 30.000000, 22.840069
0.000000, 40.000000, 35.254389
0.000000, 50.000000, 47.055752
0.000000, 60.000000, 57.761544
0.000000, 70.000000, 67.342934
0.000000, 80.000000, 76.501499
0.000000, 90.000000, 86.325935
10.000000, -90.000000, -57.494118
10.000000, -80.000000, -48.642532
10.000000, -70.000000, -42.352946
10.000000, -60.000000, -39.772321
10.000000, -50.000000, -41.677164
10.000000, -40.000000, -46.874860
10.000000, -30.000000, -49.815599
10.000000, -20.000000, -43.775055
10.000000, -10.000000, -30.249003
10.000000, 0.000000, -15.450381
10.000000, 10.000000, -1.829942
10.000000, 20.000000, 10.995780
10.000000, 30.000000, 23.657396
10.000000, 40.000000, 36.092131
10.000000, 50.000000, 47.727464
10.000000, 60.000000, 58.140650
10.000000, 70.000000, 67.453015
10.000000, 80.000000, 76.528090
10.000000, 90.000000, 86.325948
20.000000, -90.000000, -57.494226
20.000000, -80.000000, -49.305120
20.000000, -70.000000, -43.103426
20.000000, -60.000000, -40.093633
20.000000, -50.000000, -40.854094
20.000000, -40.000000, -44.682187
20.000000, -30.000000, -47.338521
20.000000, -20.000000, -41.617143
20.000000, -10.000000, -28.433033
20.000000, 0.000000, -14.060801
20.000000, 10.000000, -0.732286
20.000000, 20.000000, 11.989982
20.000000, 30.000000, 24.657893
20.000000, 40.000000, 37.058764
20.000000, 50.000000, 48.536529
20.000000, 60.000000, 58.737628
20.000000, 70.000000, 67.865008
20.000000, 80.000000, 76.798542
20.000000, 90.000000, 86.325993
30.000000, -90.000000, -57.494360
30.000000, -80.000000, -50.209492
30.000000, -70.000000, -44.302741
30.000000, -60.000000, -41.076510
30.000000, -50.000000, -40.831454
30.000000, -40.000000, -42.819724
30.000000, -30.000000, -43.873556
30.000000, -20.000000, -37.971632
30.000000, -10.000000, -25.492439
30.000000, 0.000000, -11.865317
30.000000, 10.000000, 0.981143
30.000000, 20.000000, 13.428989
30.000000, 30.000000, 25.906065
30.000000, 40.000000, 38.110649
30.000000, 50.000000, 49.409370
30.000000, 60.000000, 59.510907
30.000000, 70.000000, 68.572091
30.000000, 80.000000, 77.312519
30.000000, 90.000000, 86.326067
40.000000, -90.000000, -57.494515
40.000000, -80.000000, -51.366489
40.000000, -70.000000, -46.032917
40.000000, -60.000000, -42.925309
40.000000, -50.000000, -42.125938
40.000000, -40.000000, -42.597463
40.000000, -30.000000, -41.588110
40.000000, -20.000000, -34.802759
40.000000, -10.000000, -22.759072
40.000000, 0.000000, -9.713626
40.000000, 10.000000, 2.758934
40.000000, 20.000000, 14.956975
40.000000, 30.000000, 27.190978
40.000000, 40.000000, 39.155819
40.000000, 50.000000, 50.334656
40.000000, 60.000000, 60.479812
40.000000, 70.000000, 69.589038
40.000000, 80.000000, 78.066844
40.000000, 90.000000, 86.326170
50.000000, -90.000000, -57.494688
50.000000, -80.000000, -52.775679
50.000000, -70.000000, -48.330897
50.000000, -60.000000, -45.689392
50.000000, -50.000000, -44.797096
50.000000, -40.000000, -44.304848
50.000000, -30.000000, -41.454562
50.000000, -20.000000, -33.392162
50.000000, -10.000000, -21.316136
50.000000, 0.000000, -8.536503
50.000000, 10.000000, 3.771775
50.000000, 20.000000, 15.874929
50.000000, 30.000000, 28.028434
50.000000, 40.000000, 39.978229
50.000000, 50.000000, 51.291469
50.000000, 60.000000, 61.685724
50.000000, 70.000000, 70.935022
50.000000, 80.000000, 79.051827
50.000000, 90.000000, 86.326298
60.000000, -90.000000, -57.494872
60.000000, -80.000000, -54.422858
60.000000, -70.000000, -51.193898
60.000000, -60.000000, -49.309266
60.000000, -50.000000, -48.599728
60.000000, -40.000000, -47.454434
60.000000, -30.000000, -43.006820
60.000000, -20.000000, -33.554952
60.000000, -10.000000, -21.097240
60.000000, 0.000000, -8.333938
60.000000, 10.000000, 3.948456
60.000000, 20.000000, 16.059312
60.000000, 30.000000, 28.289535
60.000000, 40.000000, 40.492939
60.000000, 50.000000, 52.256460
60.000000, 60.000000, 63.136915
60.000000, 70.000000, 72.600417
60.000000, 80.000000, 80.245401
60.000000, 90.000000, 86.326447
70.000000, -90.000000, -57.495062
70.000000, -80.000000, -56.278365
70.000000, -70.000000, -54.589639
70.000000, -60.000000, -53.679090
70.000000, -50.000000, -53.167833
70.000000, -40.000000, -51.236681
70.000000, -30.000000, -45.160209
70.000000, -20.000000, -34.381322
70.000000, -10.000000, -21.447802
70.000000, 0.000000, -8.575467
70.000000, 10.000000, 3.763577
70.000000, 20.000000, 15.933223
70.000000, 30.000000, 28.290697
70.000000, 40.000000, 40.840492
70.000000, 50.000000, 53.214157
70.000000, 60.000000, 64.751595
70.000000, 70.000000, 74.500047
70.000000, 80.000000, 81.604837
70.000000, 90.000000, 86.326612
80.000000, -90.000000, -57.495253
80.000000, -80.000000, -58.295709
80.000000, -70.000000, -58.462788
80.000000, -60.000000, -58.686062
80.000000, -50.000000, -58.129242
80.000000, -40.000000, -54.878872
80.000000, -30.000000, -47.008012
80.000000, -20.000000, -35.149899
80.000000, -10.000000, -21.886061
80.000000, 0.000000, -8.921991
80.000000, 10.000000, 3.501111
80.000000, 20.000000, 15.776003
80.000000, 30.000000, 28.291978
80.000000, 40.000000, 41.161195
80.000000, 50.000000, 54.096690
80.000000, 60.000000, 66.303722
80.000000, 70.000000, 76.414340
80.000000, 80.000000, 83.054147
80.000000, 90.000000, 86.326788
90.000000, -90.000000, -57.495438
90.000000, -80.000000, -60.410223
90.000000, -70.000000, -62.732542
90.000000, -60.000000, -64.204734
90.000000, -50.000000, -63.073414
90.000000, -40.000000, -57.708248
90.000000, -30.000000, -47.916388
90.000000, -20.000000, -35.291777
90.000000, -10.000000, -21.957496
90.000000, 0.000000, -9.068543
90.000000, 10.000000, 3.334931
90.000000, 20.000000, 15.673607
90.000000, 30.000000, 28.331740
90.000000, 40.000000, 41.424430
90.000000, 50.000000, 54.708444
90.000000, 60.000000, 67.400018
90.000000, 70.000000, 77.935903
90.000000, 80.000000, 84.460657
90.000000, 90.000000, 86.326971
100.000000, -90.000000, -57.495612
100.000000, -80.000000, -62.537937
100.000000, -70.000000, -67.281349
100.000000, -60.000000, -70.054390
100.000000, -50.000000, -67.414677
100.000000, -40.000000, -59.159698
100.000000, -30.000000, -47.526302
100.000000, -20.000000, -34.411024
100.000000, -10.000000, -21.250024
100.000000, 0.000000, -8.669068
100.000000, 10.000000, 3.497577
100.000000, 20.000000, 15.710568
100.000000, 30.000000, 28.333153
100.000000, 40.000000, 41.419029
100.000000, 50.000000, 54.719885
100.000000, 60.000000, 67.571888
100.000000, 70.000000, 78.531062
100.000000, 80.000000, 85.591228
100.000000, 90.000000, 86.327154
110.000000, -90.000000, -57.495770
110.000000, -80.000000, -64.575558
110.000000, -70.000000, -71.935387
110.000000, -60.000000, -75.943398
110.000000, -50.000000, -70.414872
110.000000, -40.000000, -59.207852
110.000000, -30.000000, -46.276575
110.000000, -20.000000, -32.992351
110.000000, -10.000000, -20.157490
110.000000, 0.000000, -8.003973
110.000000, 10.000000, 3.784118
110.000000, 20.000000, 15.683272
110.000000, 30.000000, 28.019946
110.000000, 40.000000, 40.801900
110.000000, 50.000000, 53.805069
110.000000, 60.000000, 66.545796
110.000000, 70.000000, 77.895266
110.000000, 80.000000, 86.102506
110.000000, 90.000000, 86.327332
120.000000, -90.000000, -57.495907
120.000000, -80.000000, -66.403404
120.000000, -70.000000, -76.422385
120.000000, -60.000000, -81.316715
120.000000, -50.000000, -71.536347
120.000000, -40.000000, -58.418194
120.000000, -30.000000, -45.052312
120.000000, -20.000000, -31.980128
120.000000, -10.000000, -19.571569
120.000000, 0.000000, -7.838114
120.000000, 10.000000, 3.588741
120.000000, 20.000000, 15.134228
120.000000, 30.000000, 27.052317
120.000000, 40.000000, 39.353110
120.000000, 50.000000, 51.920108
120.000000, 60.000000, 64.489990
120.000000, 70.000000, 76.279260
120.000000, 80.000000, 85.815683
120.000000, 90.000000, 86.327499
130.000000, -90.000000, -57.496018
130.000000, -80.000000, -67.894168
130.000000, -70.000000, -80.239217
130.000000, -60.000000, -84.440567
130.000000, -50.000000, -70.818500
130.000000, -40.000000, -57.222238
130.000000, -30.000000, -44.108718
130.000000, -20.000000, -31.489075
130.000000, -10.000000, -19.532349
130.000000, 0.000000, -8.180923
130.000000, 10.000000, 2.916173
130.000000, 20.000000, 14.102014
130.000000, 30.000000, 25.551199
130.000000, 40.000000, 37.315437
130.000000, 50.000000, 49.446233
130.000000, 60.000000, 61.920907
130.000000, 70.000000, 74.233420
130.000000, 80.000000, 85.007697
130.000000, 90.000000, 86.327651
140.000000, -90.000000, -57.496100
140.000000, -80.000000, -68.930362
140.000000, -70.000000, -82.342095
140.000000, -60.000000, -82.588902
140.000000, -50.000000, -68.772187
140.000000, -40.000000, -55.657821
140.000000, -30.000000, -43.079268
140.000000, -20.000000, -30.904416
140.000000, -10.000000, -19.297418
140.000000, 0.000000, -8.267331
140.000000, 10.000000, 2.469222
140.000000, 20.000000, 13.208469
140.000000, 30.000000, 24.103971
140.000000, 40.000000, 35.279721
140.000000, 50.000000, 46.971074
140.000000, 60.000000, 59.395023
140.000000, 70.000000, 72.228917
140.000000, 80.000000, 84.062416
140.000000, 90.000000, 86.327783
150.000000, -90.000000, -57.496152
150.000000, -80.000000, -69.429321
150.000000, -70.000000, -81.659047
150.000000, -60.000000, -78.429266
150.000000, -50.000000, -65.962403
150.000000, -40.000000, -53.681547
150.000000, -30.000000, -41.666730
150.000000, -20.000000, -29.841459
150.000000, -10.000000, -18.464301
150.000000, 0.000000, -7.676028
150.000000, 10.000000, 2.702740
150.000000, 20.000000, 12.940890
150.000000, 30.000000, 23.222258
150.000000, 40.000000, 33.759603
150.000000, 50.000000, 44.970734
150.000000, 60.000000, 57.308433
150.000000, 70.000000, 70.559915
150.000000, 80.000000, 83.212814
150.000000, 90.000000, 86.327891
160.000000, -90.000000, -57.496170
160.000000, -80.000000, -69.365913
160.000000, -70.000000, -79.015660
160.000000, -60.000000, -74.074136
160.000000, -50.000000, -62.794463
160.000000, -40.000000, -51.333253
160.000000, -30.000000, -39.818311
160.000000, -20.000000, -28.269374
160.000000, -10.000000, -17.051122
160.000000, 0.000000, -6.418793
160.000000, 10.000000, 3.689319
160.000000, 20.000000, 13.476649
160.000000, 30.000000, 23.147453
160.000000, 40.000000, 33.013664
160.000000, 50.000000, 43.691136
160.000000, 60.000000, 55.866906
160.000000, 70.000000, 69.380925
160.000000, 80.000000, 82.576225
160.000000, 90.000000, 86.327971
170.000000, -90.000000, -57.496155
170.000000, -80.000000, -68.777942
170.000000, -70.000000, -75.717786
170.000000, -60.000000, -69.965047
170.000000, -50.000000, -59.543776
170.000000, -40.000000, -48.759127
170.000000, -30.000000, -37.661632
170.000000, -20.000000, -26.328152
170.000000, -10.000000, -15.199026
170.000000, 0.000000, -4.602330
170.000000, 10.000000, 5.395261
170.000000, 20.000000, 14.848797
170.000000, 30.000000, 23.930173
170.000000, 40.000000, 33.089754
170.000000, 50.000000, 43.190794
170.000000, 60.000000, 55.138637
170.000000, 70.000000, 68.757668
170.000000, 80.000000, 82.209138
170.000000, 90.000000, 86.328021
180.000000, -90.000000, -57.496108
180.000000, -80.000000, -67.749111
180.000000, -70.000000, -72.317683
180.000000, -60.000000, -66.194327
180.000000, -50.000000, -56.407361
180.000000, -40.000000, -46.176424
180.000000, -30.000000, -35.464703
180.000000, -20.000000, -24.342957
180.000000, -10.000000, -13.274149
180.000000, 0.000000, -2.613546
180.000000, 10.000000, 7.452747
180.000000, 20.000000, 16.757720
180.000000, 30.000000, 25.355314
180.000000, 40.000000, 33.856896
180.000000, 50.000000, 43.416193
180.000000, 60.000000, 55.120118
180.000000, 70.000000, 68.705719
180.000000, 80.000000, 82.133870
180.000000, 90.000000, 86.328040
